seed_title,onet_code,onet_name
Service Man,49-9051.00,Electrical Power-Line Installers and Repairers
Administrative Specialist,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Truck Loader,53-7121.00,"Tank Car, Truck, and Ship Loaders"
Chemical Hygiene Officer,19-5011.00,Occupational Health and Safety Specialists
Administrative Clerk,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Beautician,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Ladle Repairman,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Inseamer,51-6042.00,Shoe Machine Operators and Tenders
Power Plant Operations Manager,11-3051.02,Geothermal Production Managers
Utility Aide,35-9021.00,Dishwashers
Mortgage Loan Officer,13-2072.00,Loan Officers
Retrofit Installer,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Analytical Research Chemist,19-1021.00,Biochemists and Biophysicists
Facility Maintenance Supervisor,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Power System Operator,51-8012.00,Power Distributors and Dispatchers
Orthodontics and Dentofacial Orthopedics Specialist,29-1023.00,Orthodontists
Family Medicine Physician,29-1215.00,Family Medicine Physicians
Staff Land Surveyor,17-1022.00,Surveyors
Wellness and Coaching Manager,11-9179.01,Fitness and Wellness Coordinators
Mail Processing Clerk,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Power Lineman,49-9051.00,Electrical Power-Line Installers and Repairers
Certified Flexible Endoscopy Reprocessor (CFER),31-9099.02,Endoscopy Technicians
Fitness Center Manager,11-9179.01,Fitness and Wellness Coordinators
Project Production Engineer,17-2171.00,Petroleum Engineers
Natural Resources Professor,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
Day Light Relief Operator,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Allergy and Immunology Specialist,29-1229.01,Allergists and Immunologists
Casting Operator,51-4052.00,"Pourers and Casters, Metal"
Direct Service Professional (DSP),31-2012.00,Occupational Therapy Aides
Registered Environmental Health Specialist (REHS),19-2041.00,"Environmental Scientists and Specialists, Including Health"
Clinical Pharmacologist,19-1042.00,"Medical Scientists, Except Epidemiologists"
ICU Nurse (Intensive Care Unit Nurse),29-1141.03,Critical Care Nurses
Shipping Clerk,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
Page Technician,25-4031.00,Library Technicians
Freight Conductor,53-4031.00,Railroad Conductors and Yardmasters
Machine Repairer,49-9043.00,"Maintenance Workers, Machinery"
Landscape Designer,17-1012.00,Landscape Architects
Network Support Specialist,15-1231.00,Computer Network Support Specialists
Chemistry Professor,25-1052.00,"Chemistry Teachers, Postsecondary"
Kindergarten Classroom Teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
Roasterman,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Loan Officer,13-2072.00,Loan Officers
Physical Security Engineer,13-1199.07,Security Management Specialists
Chemical Dependency Professional,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Layout Technician (Layout Tech),51-4192.00,"Layout Workers, Metal and Plastic"
Childcare Provider,39-9011.00,Childcare Workers
Certified Alcohol and Drug Counselor (ADAC),21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Customs Officer,33-3051.04,Customs and Border Protection Officers
Tile and Marble Installer,47-2044.00,Tile and Stone Setters
4-H Youth Development Educator,25-9021.00,Farm and Home Management Educators
Correctional Counselor,21-1092.00,Probation Officers and Correctional Treatment Specialists
Industrial Radiographer,17-3029.01,Non-Destructive Testing Specialists
Campus Energy Coordinator,13-1199.05,Sustainability Specialists
Accounting Assistant,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Photo Technologist,49-9061.00,Camera and Photographic Equipment Repairers
Ski Lift Operator,39-3091.00,Amusement and Recreation Attendants
Clean in Places Operator (CIP Operator),51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
Marine Fisheries Technician,19-4021.00,Biological Technicians
Roof Service Technician,47-2181.00,Roofers
Molecular Biologist,19-1029.02,Molecular and Cellular Biologists
Metal Inspector,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Casino Enforcement Agent,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Financial Service Representative,43-4141.00,New Accounts Clerks
Punch Press Operator,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
Harbor Engineer,53-5031.00,Ship Engineers
Neon Glass Bender,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
Court Security Officer,33-3011.00,Bailiffs
Layout Inspector,51-4192.00,"Layout Workers, Metal and Plastic"
Studio Camera Operator,27-4031.00,"Camera Operators, Television, Video, and Film"
Cornea Specialist,29-1241.00,"Ophthalmologists, Except Pediatric"
Historical Archaeologist,19-3091.00,Anthropologists and Archeologists
Aviation Electronics Technician,49-2091.00,Avionics Technicians
Actor,27-2011.00,Actors
General Internist,29-1216.00,General Internal Medicine Physicians
Postmaster,11-9131.00,Postmasters and Mail Superintendents
Projector Booth Operator,39-3021.00,Motion Picture Projectionists
Power Technician (Power Tech),49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
Management Professor,25-1011.00,"Business Teachers, Postsecondary"
Accounting Instructor,25-1011.00,"Business Teachers, Postsecondary"
Layout Fitter,51-4192.00,"Layout Workers, Metal and Plastic"
Spreader,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Rural Carrier,43-5052.00,Postal Service Mail Carriers
Food Safety and Inspection Service Inspector (FSIS Inspector),45-2011.00,Agricultural Inspectors
Terrazzo Finisher,47-2053.00,Terrazzo Workers and Finishers
Methodologist,19-3022.00,Survey Researchers
Black Jack Dealer,39-3011.00,Gambling Dealers
Animal Scientist,19-1011.00,Animal Scientists
Engineering Group Manager,11-9041.00,Architectural and Engineering Managers
Practicing Dermatologist,29-1213.00,Dermatologists
Anti-Fraud Operations Analyst,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Licensed Veterinary Technician (LVT),29-2056.00,Veterinary Technologists and Technicians
Custom Bookbinder,51-5113.00,Print Binding and Finishing Workers
Seamer,51-6031.00,Sewing Machine Operators
Laundry Housekeeper,51-6011.00,Laundry and Dry-Cleaning Workers
Events Manager,13-1121.00,"Meeting, Convention, and Event Planners"
Adult and Pediatric Allergy Partner,29-1229.01,Allergists and Immunologists
Payroll Coordinator,43-3051.00,Payroll and Timekeeping Clerks
Drawing Operator,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
Route Sales Driver,53-3031.00,Driver/Sales Workers
Rangeland Technician,19-1031.02,Range Managers
Well Servicing Rig Operator,47-5013.00,"Service Unit Operators, Oil and Gas"
Parking Enforcement Officer (PEO),33-3041.00,Parking Enforcement Workers
Rigger,49-9096.00,Riggers
Business Continuity and Disaster Recovery Consultant,13-1199.04,Business Continuity Planners
Livestock Handler,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Adult Basic Education Instructor (ABE Instructor),25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Legal Administrative Secretary,43-6012.00,Legal Secretaries and Administrative Assistants
Rental Associate,41-2021.00,Counter and Rental Clerks
Database Coordinator,15-1242.00,Database Administrators
Ramp and Cargo Supervisor,53-1041.00,Aircraft Cargo Handling Supervisors
Identification Officer,33-3021.02,Police Identification and Records Officers
Therapeutic Optometrist,29-1041.00,Optometrists
Research Chef,19-1012.00,Food Scientists and Technologists
Swamper,53-7081.00,Refuse and Recyclable Material Collectors
Food and Beverage Manager,11-9051.00,Food Service Managers
Clerk Typist,43-9022.00,Word Processors and Typists
Choir Director,27-2041.00,Music Directors and Composers
School Cook,35-2012.00,"Cooks, Institution and Cafeteria"
Cardiology Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Therapeutic Massage Technician,31-9011.00,Massage Therapists
Certified Ophthalmic Surgical Assistant,29-2057.00,Ophthalmic Medical Technicians
Literary Agent,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Machine Feeder,53-7063.00,Machine Feeders and Offbearers
Taxi Driver,53-3054.00,Taxi Drivers
Glass Technician,49-3022.00,Automotive Glass Installers and Repairers
Glaucoma Specialist,29-1241.00,"Ophthalmologists, Except Pediatric"
Transportation Engineer,17-2051.01,Transportation Engineers
Floor Installation Mechanic,47-2041.00,Carpet Installers
Oncology Dietitian,29-1031.00,Dietitians and Nutritionists
Paratransit Dispatcher,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Software Quality Assurance Analyst (SQA Analyst),15-1253.00,Software Quality Assurance Analysts and Testers
Nurses' Aide,31-1131.00,Nursing Assistants
Commodities Broker,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Court Interpreter,27-3091.00,Interpreters and Translators
Farm Hand,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Airfield Operations Specialist,53-2022.00,Airfield Operations Specialists
Recreational Therapist,29-1125.00,Recreational Therapists
Physical Scientist,19-2043.00,Hydrologists
Orthopedic Physician Assistant,29-1071.00,Physician Assistants
RVDA Master Certified RV Technician (Recreational Vehicle Dealer Association Master Certified Recreational Vehicle Technician),49-3092.00,Recreational Vehicle Service Technicians
Computer Science Instructor,25-1021.00,"Computer Science Teachers, Postsecondary"
Radiology Transcriptionist,31-9094.00,Medical Transcriptionists
Electro Mechanic,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
Dog Control Officer,33-9011.00,Animal Control Workers
Fine Craft Artist,27-1012.00,Craft Artists
Marine Engineer,17-2121.00,Marine Engineers and Naval Architects
Chemotherapy Pharmacy Technician (Chemo Pharmacy Technician),29-2052.00,Pharmacy Technicians
Orthodontic Dentist,29-1023.00,Orthodontists
Track Repairer,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
Wallpaper Installer,47-2142.00,Paperhangers
Nuclear Medicine Technologist (NMT),29-2033.00,Nuclear Medicine Technologists
Roughing Mill Operator,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
HIV CTS Specialist (Human Immunodeficiency Virus Counseling and Testing Services Specialist),21-1094.00,Community Health Workers
Tour Operator,39-7012.00,Travel Guides
Mill Beam Fitter,51-2041.00,Structural Metal Fabricators and Fitters
Revenue Agent,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Brakeman,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
Flight Controls Engineer,17-2011.00,Aerospace Engineers
Art Class Model,41-9012.00,Models
Nurse Midwife,29-1161.00,Nurse Midwives
Production Miner,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
Certified Critical Care Nurse,29-1141.03,Critical Care Nurses
Carver,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
Process Control Engineer,17-2041.00,Chemical Engineers
Kiln Worker,51-9195.05,"Potters, Manufacturing"
Elevator Adjuster,47-4021.00,Elevator and Escalator Installers and Repairers
Damage Appraiser,13-1032.00,"Insurance Appraisers, Auto Damage"
Driver Sales Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Accounting Associate,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Histologic Technician,29-2012.01,Histology Technicians
Quality Assurance Director (QA Director),11-3051.01,Quality Control Systems Managers
Annual Giving Director,11-2033.00,Fundraising Managers
Diamond Cutter,51-9071.06,Gem and Diamond Workers
Residential Door Installer,49-9011.00,Mechanical Door Repairers
Cycle Counter,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Valet Attendant,53-6021.00,Parking Attendants
Mine Surveyor,17-1022.00,Surveyors
Patrol Deputy,33-3051.00,Police and Sheriff's Patrol Officers
Tobacco Buyer,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Pattern Technician,51-6092.00,Fabric and Apparel Patternmakers
Statistical Analyst,15-2041.00,Statisticians
Continuous Mining Operator (CMO),47-5041.00,Continuous Mining Machine Operators
Licensed Mortician,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
Direct Response Consultant,13-1131.00,Fundraisers
Insurance Appraiser,13-1032.00,"Insurance Appraisers, Auto Damage"
Advertising Photographer,27-4021.00,Photographers
Farrowing Worker,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Brownfields Program Manager,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Valve Technician,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Revenue Officer,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Digital Artist,27-1014.00,Special Effects Artists and Animators
Electrical Engineering Manager,11-9041.00,Architectural and Engineering Managers
Guest Service Representative,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Licensed Vocational Nurse (LVN),29-2061.00,Licensed Practical and Licensed Vocational Nurses
Telephone Sales Representative (TSR),41-9041.00,Telemarketers
Medical Records Analyst,29-9021.00,Health Information Technologists and Medical Registrars
Manufacturing Technology Analyst,17-3026.00,Industrial Engineering Technologists and Technicians
Inside Sales Engineer,41-9031.00,Sales Engineers
Cybersecurity Project Manager,15-1299.09,Information Technology Project Managers
Broadcast Technician,27-4012.00,Broadcast Technicians
Ferry Engineer,53-5031.00,Ship Engineers
Chargeback Specialist,43-4021.00,Correspondence Clerks
Meteorologist,19-2021.00,Atmospheric and Space Scientists
Pre-Press Proofer,51-5111.00,Prepress Technicians and Workers
Landscape Architect,17-1012.00,Landscape Architects
Neurodiagnostic Technologist (Neurodiagnostic Tech),29-2099.01,Neurodiagnostic Technologists
License Specialist,43-4031.00,"Court, Municipal, and License Clerks"
Addictions Counselor Assistant,21-1093.00,Social and Human Service Assistants
Classified Advertising Manager (Classified Ad Manager),11-2011.00,Advertising and Promotions Managers
Geodetic Surveyor,17-1022.01,Geodetic Surveyors
Yarder Operator,45-4022.00,Logging Equipment Operators
Freezer Operator,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
Certified Pedorthist,29-2091.00,Orthotists and Prosthetists
Septic Cleaner,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
